"U","Kf","h"
0.001060544,1.270992e-05,888.521251766439
0.00861492,0.0001203394,604.066816470542
0.002687009,0.000385292,65.1620636116379
0.005286399,4.060351e-05,1193.4552306644
0.002193769,0.0002410589,84.5994896865094
0.009492095,2.736721e-05,3175.11102975701
0.003388305,6.500972e-06,5267.72747079551
0.004280142,8.547682e-05,448.775071510669
0.006632848,0.0007545748,75.8813371034634
0.0006879406,2.355438e-07,6905.81284548121
0.0001909567,0.0006428847,49.989829225711
0.007781738,5.667305e-05,1237.04693677391
0.003519135,1.806397e-05,2025.90689654205
0.006154629,0.0002044455,259.370318028669
0.001827067,5.121314e-05,320.300921217993
0.009084152,0.0005407661,149.484007654963
0.004686726,0.0001696575,264.096467769128
0.006998494,1.610411e-05,4146.3103943215
0.0009399883,3.492226e-06,3236.82799380575
0.0007364607,0.0001105327,59.9762021092922
0.008319688,1.047129e-05,7319.90030333437
0.002972423,3.292603e-05,846.959120788617
0.005620303,0.0003467918,138.83165337357
0.002518195,2.747088e-05,858.072754809281
0.006030975,6.473995e-06,8732.02331001811
0.009787062,0.0003116992,285.249622106405
0.00399439,0.0009912806,49.93265109336
0.006299209,8.755776e-05,619.887065148066
0.000393616,2.031367e-06,2200.28090999789
0.0005244447,7.45977e-05,64.4484006714419
0.008066432,0.0006572413,111.498280662577
0.003224318,0.0002057398,133.352575223038
0.005831261,2.329845e-05,2377.08433933461
0.002107598,7.632959e-06,2979.20896361317
0.001493918,0.0004374079,49.9983107879933
0.008799192,4.621243e-05,1730.81520027921
0.004981202,1.476268e-05,3430.40684499229
0.007322125,0.0001400506,484.984447266188
0.001260594,0.000338068,49.8903616236244
0.008568454,3.438603e-05,2238.62483824445
0.002737092,1.076558e-05,2535.26695118243
0.005080299,0.000105601,414.390561483936
0.001992532,9.654452e-05,187.929123884368
0.009537409,0.0008830354,98.8295428396725
0.004228796,0.0002820477,130.544004921638
0.006837722,3.090749e-05,2051.48333074368
0.0004819541,5.752481e-06,1024.05899985576
0.0002761977,2.112363e-05,128.434103749625
0.006416249,8.416387e-06,7971.4657073186
0.00754312,0.000231023,279.12926062499
0.003763784,0.0007265344,49.9709911507573
0.006065752,6.62839e-05,808.510518914244
0.001743052,0.0001437844,115.311664644255
0.009324033,1.412383e-05,6287.11631591439
0.002937409,3.980048e-06,7854.60649226406
0.004443228,4.491088e-05,878.408715734955
0.00708856,0.0004582181,140.192681323414
0.0008512247,1.227626e-07,8542.51120835488
0.0009751424,3.885766e-05,227.007759976412
0.008234513,0.0003954565,183.645511098796
0.003061213,0.0001260304,222.870006588209
0.005375569,1.235553e-05,4870.01353311287
0.001944333,4.550284e-06,4700.62529696303
0.002278246,0.0008475497,49.9716285451698
0.00987101,7.747677e-05,1264.52188855671
0.003904408,2.431056e-05,1442.94334344017
0.006542792,0.000266551,219.606039868246
0.0001489182,6.674943e-07,1509.05378899271
0.0005709766,0.0001821735,49.8962958788897
0.007866451,1.991259e-05,3669.94343347352
0.004394766,8.927387e-06,4566.68573730922
0.003430334,6.374552e-05,464.780409210654
0.005781095,0.0005818963,91.4153841136266
0.001448538,1.682307e-05,835.137933681494
0.009000365,0.0001653446,485.436810569605
0.004776415,0.0005164975,87.5943721570872
0.007373558,5.266775e-05,1318.65582149311
0.001109047,0.0003002386,49.9715073550753
0.008721128,2.839507e-05,2914.34015842695
0.00478716,6.262291e-06,7972.1366598227
0.002580489,9.089999e-05,260.700282906196
0.005238189,0.0009590167,49.9915114784975
0.002145602,1.011341e-05,2059.58728955058
0.009385617,0.0001149457,710.036727018046
0.004386327,0.0003590639,120.136608625163
0.006681327,3.166196e-05,1859.34476513368
0.0006397637,1.77542e-06,4134.97170212339
0.0001234437,4.802376e-05,49.9849529970852
0.007694587,0.0004228749,154.351104956792
0.003605974,0.0001347683,232.522923067195
0.006222435,1.527003e-05,3849.473902217
0.002325357,3.680746e-06,6615.78581145511
0.001894915,0.0006794467,49.9952641359444
0.009171034,7.182443e-05,1087.8765654209
0.004599551,2.253702e-05,1902.2070135711
0.006930958,0.0002136838,274.783258927826
0.0008232955,2.634245e-05,301.34515971275
0.008387489,0.0002492739,295.319466790976
0.002904914,0.0007839288,49.9898618591736
0.005533157,8.265989e-05,630.15478525041
0.002431015,0.0001163082,188.639022462547
0.009719521,1.321178e-05,7624.56001605448
0.004062243,4.201084e-05,885.300928023255
0.006386096,0.0003706565,155.170492329087
0.0003064274,1.517213e-07,3093.39679641136
0.0004179199,0.0005621988,49.9804097189685
0.008018218,4.947679e-05,1554.73556467725
0.003272825,1.549017e-05,1851.2754192176
0.005937474,0.0001756114,290.700142673102
0.001600098,5.85631e-05,264.8036227053
0.008847666,0.0006194197,120.106882462277
0.004933039,0.0001978474,223.720004446987
0.007215652,1.874827e-05,3557.84333370101
0.00133176,9.480556e-06,1341.36250093
0.001212389,8.058128e-05,138.155808883427
0.008461939,0.0008186972,89.4208035482572
0.002843314,0.0002562817,95.7656516315259
0.005128816,2.516731e-05,1953.80331081211
0.001562819,7.068174e-06,2465.59176494519
0.002040997,0.0004087033,49.9791043868959
0.009643579,3.742367e-05,2391.10954113698
0.004122314,1.195507e-05,3269.02527680329
0.00678955,0.0001308596,485.951278423073
0.0005304286,4.297128e-07,5326.82668341959
0.0003440079,0.0001592201,49.8871791907389
0.007629965,1.739389e-05,4279.94597541102
0.003676647,5.469365e-05,620.287263130828
0.005998253,0.0004995472,107.945375196031
0.001675502,1.924829e-05,795.196159942902
0.00564574,9.242148e-06,5996.44887316136
0.009236844,0.0001892873,432.076964276565
0.004530105,0.000601979,62.3462610773951
0.007156403,6.134982e-05,1031.26560042597
0.0007836834,2.899946e-06,3105.39328327831
0.000888001,0.0009177736,49.9744418907
0.008167009,9.329725e-05,761.38369419874
0.003129028,2.973762e-05,970.3072873277
0.005462417,0.0002918644,168.361559405197
0.002365118,3.556286e-05,590.729447478459
0.009938849,0.0003254549,280.364485648206
0.003836863,0.0001021065,340.045799112599
0.006455608,1.118281e-05,5667.95592181686
0.0002358001,5.03051e-06,487.63571381253
0.0006771944,1.36064e-05,474.130583244046
0.007914963,0.0001485587,450.313855268256
0.003382133,0.0004756432,61.3715308415323
0.005674585,4.346755e-05,1159.34938878717
0.001342051,0.0002232217,53.1589904877755
0.008952188,2.196393e-05,3961.8958159204
0.002700324,8.097946e-06,3391.17741596657
0.004824884,6.860044e-05,670.602271414367
0.007479733,0.0006987385,94.996066327962
0.009195865,7.12083e-05,1132.4283276463
0.004320337,0.0002701143,132.326501317303
0.005154255,0.0003326479,134.895112831415
0.0002799407,1.566467e-05,172.968516971482
0.007820631,0.000150884,466.277816927634
0.0009088897,7.394812e-06,1238.07528311393
0.002640266,3.995003e-05,602.679159332718
0.006834331,2.791672e-05,2140.90139272062
0.001655169,0.0005955855,49.9712792312618
0.00956468,0.0008359813,105.95167135178
0.00453447,2.213219e-05,1990.31442575116
0.006180044,5.027298e-05,1134.77099241228
0.001151037,0.0001072656,97.8412006454011
0.008460306,1.281433e-05,6336.67466403302
0.0005399136,8.083485e-07,5413.72020587135
0.003743998,0.0004862733,67.3629601620423
0.006970511,0.0001844348,333.046951990241
0.00392471,5.222678e-06,8654.91769966539
0.002255416,8.681842e-05,230.56257653473
0.008879585,0.0002764212,296.032331225623
0.001967239,3.241842e-06,6556.41698314357
0.004008594,5.897869e-05,609.805932141214
0.005456352,1.520433e-05,3797.7438452023
0.0005865649,0.000402529,49.9640753846875
0.008127865,3.354341e-05,2148.90737751282
0.002942963,0.0001578971,167.711105383365
0.006521979,0.0007045697,80.1146432995579
0.00133829,2.673687e-05,463.437224976657
0.009866702,1.896019e-05,5260.30017497999
0.004841019,0.0008928475,49.9677046592674
0.00586384,0.0001249295,399.078600378475
0.002817435,8.313395e-06,3304.90821720821
